Vejas2040 BOM from Digikey;;;;;;;;;
Manufacturer Part Number;Manufacturer Name;Description;Requested Quantity 1;Pack Type 1;Digi-Key Part Number 1;Unit Price 1;Total Price;Reference Designator
JMK105BJ105KV-F;Taiyo Yuden;CAP CER 1UF 6.3V X5R 0402;10;Cut Tape (CT);587-1231-1-ND;0.00500;$0.05;C1,C10
CL05A104KA5NNNC;Samsung Electro-Mechanics;CAP CER 0.1UF 25V X5R 0402;70;Cut Tape (CT);1276-1043-1-ND;0.00200;$0.14;C2,C3,C4,C5,C6,C7,C8,C9,C11,C12,C17,C18
CL10A106MP8NNNC;Samsung Electro-Mechanics;CAP CER 10UF 10V X5R 0603;10;Cut Tape (CT);1276-1871-1-ND;0.01700;$0.17;C13,C14
CL05C330JB5NNNC;Samsung Electro-Mechanics;CAP CER 33PF 50V C0G/NP0 0402;10;Cut Tape (CT);1276-1272-1-ND;0.00300;$0.03;C15,C16
DX07S016JA1R1500;JAE Electronics;CONN RCP USB2.0 TYP C 24P SMD RA;5;Cut Tape (CT);670-DX07S016JA1R1500CT-ND;1.67000;$8.35;J1
ERA-2AEB512X;Panasonic Electronic Components;RES SMD 5.1K OHM 0.1% 1/16W 0402;10;Cut Tape (CT);P5.1KDCCT-ND;0.08200;$0.82;R1,R2
RC0402FR-0727R4L;YAGEO;RES 27.4 OHM 1% 1/16W 0402;10;Cut Tape (CT);YAG3085CT-ND;0.00700;$0.07;R3,R4
RC0402JR-071KL;YAGEO;RES 1K OHM 5% 1/16W 0402;15;Cut Tape (CT);311-1.0KJRCT-ND;0.00600;$0.09;R5,R7,R8
RC0402JR-0710KL;YAGEO;RES 10K OHM 5% 1/16W 0402;10;Cut Tape (CT);311-10KJRCT-ND;0.00600;$0.06;R6
SKRKAHE020;Alps Alpine;SWITCH TACTILE SPST-NO 0.05A 12V;10;Cut Tape (CT);4809-SKRKAHE020CT-ND;0.35100;$3.51;SW1,SW2
SC0914(13);Raspberry Pi;IC MCU 32BIT EXT MEM 56QFN;5;Cut Tape (CT);2648-SC0914(13)CT-ND;0.70000;$3.50;U1
W25Q128JVSIQ TR;Winbond Electronics;IC FLASH 128MBIT SPI/QUAD 8SOIC;5;Cut Tape (CT);256-W25Q128JVSIQTRCT-ND;1.85000;$9.25;U3
MCP1700T-3302E/TT;Microchip Technology;IC REG LINEAR 3.3V 250MA SOT23-3;5;Cut Tape (CT);MCP1700T3302ETTCT-ND;0.51000;$2.55;U4
ABM8-272-T3;Abracon LLC;CRYSTAL 12.0000MHZ 10PF SMD;5;Cut Tape (CT);535-ABM8-272-T3CT-ND;0.66000;$3.30;Y1
