Designator,Mid X,Mid Y,Rotation,Layer
C1,122.8598,-42.2656,0.0,top
C10,119.4054,-47.6504,90.0,top
C11,123.698,-51.181,45.0,top
C12,120.8376,-63.4492,270.0,top
C13,115.316,-36.068,180.0,top
C14,116.078,-41.91,180.0,top
C15,118.704,-63.0428,270.0,top
C16,116.5704,-63.8302,90.0,top
C17,116.8654,-46.736,180.0,top
C18,121.7956,-73.787,0.0,top
C2,122.8598,-43.2816,0.0,top
C3,123.4694,-53.086,90.0,top
C4,124.3838,-57.658,0.0,top
C5,121.9454,-49.53,90.0,top
C6,120.8024,-49.53,90.0,top
C7,114.3508,-51.7906,135.0,top
C8,112.5728,-59.2582,270.0,top
C9,119.7708,-63.0428,270.0,top
D2,123.6472,-38.6588,0.0,top
J1,118.8494,-30.1556,180.0,top
J2,127.594,-52.932,0.0,bottom
J3,109.814,-52.932,0.0,bottom
R1,121.3866,-37.0078,270.0,top
R2,117.3988,-37.0078,270.0,top
R3,119.6086,-41.0972,270.0,top
R4,120.8278,-41.0972,270.0,top
R5,117.6372,-63.8302,90.0,top
R6,113.9698,-47.1932,270.0,top
R7,119.3292,-45.5422,270.0,top
R8,121.7168,-68.1228,90.0,top
SW1,115.9764,-44.4246,0.0,top
SW2,118.704,-71.4248,0.0,top
U1,118.704,-56.388,90.0,top
U2,118.7215,-75.5821,0.0,top
U3,116.586,-48.6918,0.0,top
U4,116.144,-38.989,270.0,top
Y1,118.704,-67.4116,180.0,top
